"Id","UserId","SubscriptionTierId","StartDate","EndDate","IsActive","AutoRenew","PaymentMethod","PaymentReference","PaidAmount","Currency","LastPaymentDate","NextPaymentDate","CurrentDailyUsage","CurrentMonthlyUsage","LastUsageResetDate","MonthlyUsageResetDate","Status","CancellationReason","CancellationDate","IsTrialSubscription","TrialEndDate","CreatedDate","UpdatedDate","CreatedUserId","UpdatedUserId","IsSponsoredSubscription","SponsorId","SponsorshipCodeId","SponsorshipNotes","ReferralCredits","QueueStatus","QueuedDate","ActivatedDate","PreviousSponsorshipId","PaymentTransactionId"
130,145,5,2025-10-08 20:26:21.842 +0300,2025-11-07 20:26:21.842 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 20:26:21.842 +0300,2025-10-08 20:26:21.842 +0300,Expired,,,true,2025-11-07 20:26:21.842 +0300,2025-10-08 20:26:21.842 +0300,2025-11-16 15:58:30.473 +0300,145,,false,,,,0,2,,,,
131,146,5,2025-10-08 20:47:45.960 +0300,2025-11-07 20:47:45.960 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-08 20:47:45.960 +0300,2025-10-08 20:47:45.960 +0300,Expired,,,true,2025-11-07 20:47:45.960 +0300,2025-10-08 20:47:45.960 +0300,2025-11-16 15:58:30.473 +0300,146,,false,,,,0,2,,,,
132,147,5,2025-10-09 09:49:49.803 +0300,2025-11-08 09:49:49.803 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 09:49:49.803 +0300,2025-10-09 09:49:49.803 +0300,Expired,,,true,2025-11-08 09:49:49.803 +0300,2025-10-09 09:49:49.803 +0300,2025-11-16 15:58:30.473 +0300,147,,false,,,,0,2,,,,
133,148,5,2025-10-09 12:04:30.059 +0300,2025-11-08 12:04:30.059 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 12:04:30.059 +0300,2025-10-09 12:04:30.059 +0300,Expired,,,true,2025-11-08 12:04:30.059 +0300,2025-10-09 12:04:30.059 +0300,2025-11-16 15:58:30.473 +0300,148,,false,,,,0,2,,,,
134,149,5,2025-10-09 15:45:11.763 +0300,2025-11-08 15:45:11.763 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 15:45:11.763 +0300,2025-10-09 15:45:11.763 +0300,Expired,,,true,2025-11-08 15:45:11.763 +0300,2025-10-09 15:45:11.763 +0300,2025-11-16 15:58:30.473 +0300,149,,false,,,,0,2,,,,
135,150,5,2025-10-09 15:57:28.307 +0300,2025-11-08 15:57:28.307 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 15:57:28.307 +0300,2025-10-09 15:57:28.307 +0300,Expired,,,true,2025-11-08 15:57:28.307 +0300,2025-10-09 15:57:28.307 +0300,2025-11-16 15:58:30.473 +0300,150,,false,,,,0,2,,,,
136,151,5,2025-10-09 16:04:49.661 +0300,2025-11-08 16:04:49.661 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 16:04:49.661 +0300,2025-10-09 16:04:49.661 +0300,Expired,,,true,2025-11-08 16:04:49.661 +0300,2025-10-09 16:04:49.661 +0300,2025-11-16 15:58:30.473 +0300,151,,false,,,,0,2,,,,
137,152,5,2025-10-09 16:23:22.525 +0300,2025-11-08 16:23:22.525 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 16:23:22.525 +0300,2025-10-09 16:23:22.525 +0300,Expired,,,true,2025-11-08 16:23:22.525 +0300,2025-10-09 16:23:22.525 +0300,2025-11-16 15:58:30.473 +0300,152,,false,,,,0,2,,,,
138,153,5,2025-10-09 16:30:59.472 +0300,2025-11-08 16:30:59.472 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 16:30:59.472 +0300,2025-10-09 16:30:59.472 +0300,Expired,,,true,2025-11-08 16:30:59.472 +0300,2025-10-09 16:30:59.472 +0300,2025-11-16 15:58:30.473 +0300,153,,false,,,,0,2,,,,
139,154,5,2025-10-09 16:41:38.214 +0300,2025-11-08 16:41:38.214 +0300,false,false,Trial,,0.00,TRY,,,0,0,2025-10-09 16:41:38.214 +0300,2025-10-09 16:41:38.214 +0300,Expired,,,true,2025-11-08 16:41:38.214 +0300,2025-10-09 16:41:38.214 +0300,2025-11-16 15:58:30.473 +0300,154,,false,,,,0,2,,,,
